case_id,family,battery_count,action_module_count,occupied_cell_count,duo_load_vector,balanced_load_vector,duo_load_spread,balanced_load_spread,spread_reduction,duo_load_sse,balanced_load_sse,load_sse_reduction,changed_module_count,changed_module_rate_percent,duo_total_route_distance,balanced_total_route_distance,all_route_distances_preserved,unreachable_modules
k1_01_serpentine,serpentine,1,31,32,31,31,0,0,0,0.0,0.0,0.0,0,0.0,496.0,496.0,True,0
k1_02_dense_rectangle,dense_rectangle,1,39,40,39,39,0,0,0,0.0,0.0,0.0,0,0.0,128.0,128.0,True,0
k1_03_cross_hub,cross_hub,1,18,19,18,18,0,0,0,0.0,0.0,0.0,0,0.0,50.0,50.0,True,0
k1_04_perimeter_ring,perimeter_ring,1,25,26,25,25,0,0,0,0.0,0.0,0.0,0,0.0,169.0,169.0,True,0
k1_05_h_frame,h_frame,1,23,24,23,23,0,0,0,0.0,0.0,0.0,0,0.0,124.0,124.0,True,0
k1_06_twin_rooms,twin_rooms,1,41,42,41,41,0,0,0,0.0,0.0,0.0,0,0.0,169.0,169.0,True,0
k2_01_serpentine,serpentine,2,30,32,14/16,14/16,2,2,0,2.0,2.0,0.0,0,0.0,162.0,162.0,True,0
k2_02_dense_rectangle,dense_rectangle,2,38,40,37/1,20/18,36,2,34,648.0,2.0,646.0,17,44.73684210526316,154.0,154.0,True,0
k2_03_cross_hub,cross_hub,2,17,19,13/4,9/8,9,1,8,40.5,0.5,40.0,4,23.529411764705884,78.0,78.0,True,0
k2_04_perimeter_ring,perimeter_ring,2,24,26,13/11,12/12,2,0,2,2.0,0.0,2.0,1,4.166666666666667,109.0,109.0,True,0
k2_05_h_frame,h_frame,2,22,24,11/11,11/11,0,0,0,0.0,0.0,0.0,0,0.0,108.0,108.0,True,0
k2_06_twin_rooms,twin_rooms,2,40,42,26/14,21/19,12,2,10,72.0,2.0,70.0,5,12.5,111.0,111.0,True,0
k3_01_serpentine,serpentine,3,29,32,8/19/2,7/18/4,17,14,3,148.66666666666669,108.66666666666669,40.0,2,6.896551724137931,196.0,196.0,True,0
k3_02_dense_rectangle,dense_rectangle,3,37,40,9/13/15,9/13/15,6,6,0,18.666666666666664,18.666666666666664,0.0,0,0.0,90.0,90.0,True,0
k3_03_cross_hub,cross_hub,3,16,19,9/4/3,6/4/6,6,2,4,20.666666666666664,2.666666666666667,17.999999999999996,3,18.75,61.0,61.0,True,0
k3_04_perimeter_ring,perimeter_ring,3,23,26,12/8/3,10/8/5,9,5,4,40.66666666666667,12.666666666666666,28.000000000000007,3,13.043478260869565,81.0,81.0,True,0
k3_05_h_frame,h_frame,3,21,24,15/3/3,7/7/7,12,0,12,96.0,0.0,96.0,8,38.095238095238095,74.0,74.0,True,0
k3_06_twin_rooms,twin_rooms,3,39,42,19/10/10,19/10/10,9,9,0,54.0,54.0,0.0,0,0.0,117.0,117.0,True,0
k4_01_serpentine,serpentine,4,28,32,11/9/3/5,10/7/5/6,8,5,3,40.0,14.0,26.0,3,10.714285714285714,98.0,98.0,True,0
k4_02_dense_rectangle,dense_rectangle,4,36,40,11/11/7/7,9/9/9/9,4,0,4,16.0,0.0,16.0,4,11.11111111111111,92.0,92.0,True,0
k4_03_cross_hub,cross_hub,4,15,19,4/4/3/4,4/4/3/4,1,1,0,0.75,0.75,0.0,0,0.0,36.0,36.0,True,0
k4_04_perimeter_ring,perimeter_ring,4,22,26,6/6/5/5,6/6/5/5,1,1,0,1.0,1.0,0.0,0,0.0,42.0,42.0,True,0
k4_05_h_frame,h_frame,4,20,24,7/7/3/3,5/5/5/5,4,0,4,16.0,0.0,16.0,4,20.0,68.0,68.0,True,0
k4_06_twin_rooms,twin_rooms,4,38,42,22/1/13/2,10/10/9/9,21,1,20,297.0,1.0,296.0,16,42.10526315789474,97.0,97.0,True,0
k5_01_serpentine,serpentine,5,27,32,7/9/2/4/5,6/7/3/5/6,7,4,3,29.2,9.2,20.0,3,11.11111111111111,73.0,73.0,True,0
k5_02_dense_rectangle,dense_rectangle,5,35,40,5/8/4/6/12,5/7/4/7/12,8,8,0,40.0,38.0,2.0,1,2.857142857142857,63.0,63.0,True,0
k5_03_cross_hub,cross_hub,5,14,19,2/2/2/2/6,2/2/2/2/6,4,4,0,12.8,12.8,0.0,0,0.0,20.0,20.0,True,0
k5_04_perimeter_ring,perimeter_ring,5,21,26,4/5/5/5/2,4/4/5/5/3,3,2,1,6.8,2.8,4.0,1,4.761904761904762,36.0,36.0,True,0
k5_05_h_frame,h_frame,5,19,24,3/4/3/3/6,3/4/3/3/6,3,3,0,6.8,6.8,0.0,0,0.0,40.0,40.0,True,0
k5_06_twin_rooms,twin_rooms,5,37,42,9/9/6/9/4,9/7/6/8/7,5,3,2,21.2,5.199999999999999,16.0,3,8.108108108108109,78.0,78.0,True,0
